Month in	Month out	Bitcoin sum	Total Profit
2018-11-29	2021-11	44.4568656000000000	2369210.999915327800000000000000
2018-11-29	2022-02	12.0000000000000000	410884.320000000000000000000000
2018-11-29	2022-05	75.0000000000000000	1966080.875000000000000000000000
2018-11-29	2022-06	12.5000000000000000	208183.125000000000000000000000
2018-11-29	2022-08	14.0000000000000000	278253.640000000000000000000000
2018-11-29	2022-10	211.8110812200000000	3224999.514771912600000000000000
2018-11-29	2023-07	50.0000000000000000	1280667.500000000000000000000000
2018-11-29	2023-08	129.6798477600000000	2881358.182341952800000000000000
2018-11-29	2024-11	100.0000000000000000	9272995.000000000000000000000000
2018-11-30	2018-12	112.3167120300000000	-52664.007142191800000000000000
2018-11-30	2019-01	33459.247153670000	-24286310.749094786000000000000000
