Month in	Month out	Bitcoin sum	Total Profit
2011-07	2022-10	6.4356644200000000	130592.4056760871404208000000000000
2011-07	2022-11	3567.9472837600000000	62024535.5607956689227954000000000000
2011-07	2022-12	9.0709543300000000	154622.4465827082091756000000000000
2011-07	2023-01	4.5974217400000000	86863.9591842384506670000000000000
2011-07	2023-02	1.07677563000000000000	25640.7604115367222151000000000000
2011-07	2023-03	4.8335767100000000	105563.5659220887422880000000000000
2011-07	2023-04	2.1670720100000000	62366.8047409926209989000000000000
2011-07	2023-05	36.6690471700000000	1002631.0674985730508283000000000000
2011-07	2023-06	31.9610032200000000	840448.78711033284093410000000000000000
2011-07	2023-07	10.2803510000000000	306814.236967378261929600000000000000000000
2011-07	2023-08	6.8058838300000000	187411.3098781282583214000000000000
2011-07	2023-09	1.89100000000000000000	49352.3165344805900000000000000000
2011-07	2023-10	27.2504373500000000	889798.9056851427846101000000000000
2011-07	2023-11	29.7234581700000000	1078162.7282521305216326000000000000
2011-07	2023-12	3.4645497900000000	150870.2919690946959313000000000000
2011-07	2024-01	18.8023479900000000	813979.9649685864231329000000000000
2011-07	2024-02	11.6420277700000000	620723.8140560250888586000000000000
2011-07	2024-03	60.0350412000000000	4102297.0883592257912250000000000000
2011-07	2024-04	6.7538472200000000	436378.4085190341711314000000000000
2011-07	2024-05	12.9788296200000000	859150.3115321166518448000000000000
2011-07	2024-06	8.6450656900000000	543522.1619603889423437000000000000
2011-07	2024-07	58.0670860200000000	3384710.4839222723392774000000000000
2011-07	2024-08	32.5605545800000000	1917877.9116614268319972000000000000
2011-07	2024-09	9.3346236000000000	539914.3229781912944482000000000000
2011-07	2024-10	9.0974964300000000	621668.1433189814460327000000000000
2011-07	2024-11	107.6564889800000000	10035804.9269510716217158000000000000
2011-07	2024-12	16.1837309700000000	1615721.6154269677055879000000000000
2011-08	2011-12	21.2588232100000000	-174.8311444235770536000000000000
2011-08	2012-01	14237.8475760600000000	-60896.93089137116217570000000000000000
2011-08	2012-02	15251.9126900100000000	-59724.08460095621487390000000000000000
2011-08	2012-03	15337.3414630700000000	-78169.97588173780263280000000000000000
2011-08	2012-04	12715.4847796500000000	-67362.62762526052998280000000000000000
2011-08	2012-05	44354.066094740000	-254452.40710707051159520000000000000000
2011-08	2012-06	4336.9018691700000000	-16593.446939257333188400000000000000000000
2011-08	2012-07	6022.3327432500000000	-10504.62305728629050430000000000000000
2011-08	2012-08	8110.1497852000000000	4842.99057178340235080000000000000000
2011-08	2012-09	60066.086068240000	104190.86381079298601730000000000000000
2011-08	2012-10	3521.4575654800000000	6536.51843345759734300000000000000000
2011-08	2012-11	2736.2889298400000000	2083.9809000849300310000000000000
2011-08	2012-12	7305.7165878700000000	27540.47791708592870880000000000000000
2011-08	2013-01	8150.6546605400000000	56954.53910784446281200000000000000000
2011-08	2013-02	9283.7638942900000000	154813.42891198873091630000000000000000
2011-08	2013-03	10603.5325196400000000	519486.165938114581221000000000000000000000
2011-08	2013-04	19550.0083829900000000	2317958.994423028135054800000000000000000000
2011-08	2013-05	1822.9370572000000000	191454.258981205823834000000000000000000000
2011-08	2013-06	2296.0500657800000000	216637.83711250926293600000000000000000
2011-08	2013-07	1779.0586426200000000	136375.0207185780443027000000000000
2011-08	2013-08	2654.4194293200000000	235800.55892837723801360000000000000000
2011-08	2013-09	841.8435692500000000	97202.29366608773006960000000000000000
2011-08	2013-10	1223.2419548900000000	187974.50300534305121030000000000000000
2011-08	2013-11	5943.1294641700000000	3956881.93344305310955150000000000000000
2011-08	2013-12	4410.5642063500000000	3149711.36691239591050080000000000000000
2011-08	2014-01	1247.6940088300000000	1018028.41103293347055520000000000000000
2011-08	2014-02	1221.5252405000000000	816596.22454233470091380000000000000000
2011-08	2014-03	10839.4648619500000000	6671379.05105625933367900000000000000000
2011-08	2014-04	218.7943976500000000	99112.4042772768314618000000000000
2011-08	2014-05	300.3888316100000000	153660.0820975711728962000000000000
2011-08	2014-06	895.5248669600000000	567768.5819692735329385000000000000
2011-08	2014-07	217.8219351300000000	132490.8946466851553129000000000000
2011-08	2014-08	890.0878563100000000	441148.5768191663631288000000000000
2011-08	2014-09	257.8891915800000000	116562.0385489096198509000000000000
2011-08	2014-10	93.2441599400000000	32029.40860195264561940000000000000000
2011-08	2014-11	221.5797098400000000	82000.2481572741027092000000000000
2011-08	2014-12	271.6750077200000000	92334.7447692135018178000000000000
2011-08	2015-01	412.5286826800000000	82493.2203279128394824000000000000
2011-08	2015-02	100.3547827000000000	22138.9246377791316677000000000000
2011-08	2015-03	310.5157273900000000	85596.3241718208818664000000000000
2011-08	2015-04	92.5576249100000000	20737.7638772312751671000000000000
2011-08	2015-05	43.8525237700000000	9986.5873474489680923000000000000
2011-08	2015-06	96.1414790100000000	22254.33815625521226000000000000000000
2011-08	2015-07	107.6602148700000000	29160.2048046878051641000000000000
2011-08	2015-08	183.2329548300000000	46507.4161234335477371000000000000
2011-08	2015-09	175.1278115900000000	38363.2071094082770036000000000000
2011-08	2015-10	156.9019406000000000	46672.4997953746759950000000000000
2011-08	2015-11	360.0641632200000000	114881.7377719386953623000000000000
2011-08	2015-12	105.8922452000000000	44409.7004806131688215000000000000
2011-08	2016-01	202.3514187300000000	79409.7263691807682570000000000000
2011-08	2016-02	252.1855725300000000	95208.0071302384149694000000000000
2011-08	2016-03	150.1788313000000000	61389.06114154777483820000000000000000
2011-08	2016-04	136.6109649200000000	58584.2758484542170397000000000000
2011-08	2016-05	158.5918862100000000	71618.91322181486050790000000000000000
2011-08	2016-06	304.6532440100000000	204280.7225702866060351000000000000
2011-08	2016-07	137.4179955400000000	89398.3120596718773836000000000000
2011-08	2016-08	128.7845566200000000	74112.2891592070327797000000000000
2011-08	2016-09	168.2818829500000000	99847.0930774893810120000000000000
2011-08	2016-10	70.5038451900000000	45553.3521039014083715000000000000
2011-08	2016-11	271.2046928900000000	197240.9334995946444666000000000000
2011-08	2016-12	223.2128485400000000	182167.6963580442532962000000000000
2011-08	2017-01	200.5901700900000000	192383.2859559958922767000000000000
2011-08	2017-02	141.9199278000000000	151870.5501340640894690000000000000
2011-08	2017-03	380.5401399300000000	385998.4752946063427591000000000000
2011-08	2017-04	333.5062767600000000	403278.3880071317182930000000000000
2011-08	2017-05	389.4961466800000000	772557.61452299223559600000000000000000
2011-08	2017-06	1108.2984574900000000	2972234.9852481238559077000000000000
2011-08	2017-07	496.7256420500000000	1182084.2135828611069237000000000000
2011-08	2017-08	1509.9659677300000000	5452893.64349019380259920000000000000000
2011-08	2017-09	576.4317107800000000	2429158.2993225486516196000000000000
2011-08	2017-10	419.6041331300000000	2103983.0946141941067188000000000000
2011-08	2017-11	816.8221248400000000	6679035.33703755498957280000000000000000
2011-08	2017-12	727.8874492800000000	11453689.55451750945523530000000000000000
2011-08	2018-01	430.1626942900000000	6279180.0850727159259284000000000000
2011-08	2018-02	243.4747429300000000	2142752.3738034999071581000000000000
2011-08	2018-03	180.3218878600000000	1553008.92223060026287460000000000000000
2011-08	2018-04	32.7025066000000000	255943.1657755152731499000000000000
2011-08	2018-05	104.1111104300000000	878820.0925953387618733000000000000
2011-08	2018-06	77.8150054800000000	539999.4437535389818441000000000000
2011-08	2018-07	208.2759561800000000	1678765.4234716471925242000000000000
2011-08	2018-08	72.5084131100000000	481864.1215331030232133000000000000
2011-08	2018-09	57.1647597100000000	368514.3610236399364506000000000000
2011-08	2018-10	48.5274966800000000	315559.7364613303813912000000000000
2011-08	2018-11	60.4246639800000000	295555.46844045574158110000000000000000
2011-08	2018-12	31.5034028700000000	111539.6378602793167132000000000000
2011-08	2019-01	38.3289366300000000	135864.6921783766313654000000000000
2011-08	2019-02	2.0941343000000000	7972.1669264581096229000000000000
2011-08	2019-03	52.1521551600000000	206791.3931732738565502000000000000
2011-08	2019-04	94.7285819100000000	481488.7173225609993184000000000000
2011-08	2019-05	134.2186214200000000	831190.2874554562378511000000000000
2011-08	2019-06	47.3309773100000000	498599.5477222899992746000000000000
2011-08	2019-07	237.6511973100000000	2265595.6504245415958526000000000000
2011-08	2019-08	1736.5843317100000000	17677254.3900366049559045000000000000
2011-08	2019-09	4.0521514800000000	37944.0423505838095391000000000000
2011-08	2019-10	5.6217015200000000	46375.4592964320244312000000000000
2011-08	2019-11	28.2205000000000000	224200.3418647869550000000000000000
2011-08	2019-12	24.5589917000000000	175080.3916622457142135000000000000
2011-08	2020-01	27.8227002900000000	237980.6690652922589996000000000000
2011-08	2020-02	6.4818674900000000	64775.9432090045630612000000000000
2011-08	2020-03	15.9659083300000000	133848.3204209961446820000000000000
2011-08	2020-04	32.8122072300000000	239073.9341103142867402000000000000
2011-08	2020-05	6.9328548900000000	64318.8058367272294492000000000000
2011-08	2020-06	122.1793653600000000	1118192.25082766079609090000000000000000
2011-08	2020-07	7.3691232900000000	70774.1165497085428357000000000000
2011-08	2020-08	8.1278063300000000	95504.1602423851239833000000000000
2011-08	2020-09	4.5280446800000000	48354.0243329804178897000000000000
2011-08	2020-10	24.7305188100000000	289324.7247297947836337000000000000
2011-08	2020-11	91.2308272600000000	1472719.144877481539920800000000000000000000
2011-08	2020-12	36.2525093100000000	851039.4531889569897282000000000000
